#{"t_start": 1764885283.7526534, "env_id": "Ant-v5"}
r,l,t
-92.070297,138,1.2466
-25.790558,19,1.277542
-1136.136829,1000,2.912954
-62.178844,37,2.970223
-142.629686,89,3.110462
-12.867916,12,3.129066
-0.921757,14,3.152987
-59.309001,51,3.234849
-214.308041,138,3.45595
-30.772918,25,3.500747
-184.684345,108,3.67155
-22.594663,15,3.69529
-8.902077,42,3.76091
-13.695877,23,3.797955
-36.827736,26,3.83857
-60.998615,52,3.918208
-27.613972,49,3.996794
-6.29251,12,4.014077
-41.224325,31,4.064724
-58.621932,42,4.128917
-89.205097,62,4.225459
-70.664399,72,4.34693
-62.14981,38,4.404817
-134.965476,91,4.556393
-32.313244,37,4.61284
-9.730368,26,4.6529
-40.238678,73,4.767567
-38.970495,21,4.800414
-14.271187,19,4.832164
-1107.20835,1000,6.467514
-1.384548,10,6.483767
-11.592435,20,6.521151
-81.617979,104,6.689022
-6.554825,13,6.714787
-6.189493,38,6.777567
-1078.103527,1000,8.420065
-71.418317,42,8.485926
-72.791444,65,8.598398
-44.541378,19,8.630237
-1082.587882,1000,10.37792
-1044.471339,1000,12.156807
-27.441074,20,12.187998
-23.147335,19,12.217974
-17.465831,17,12.243334
-37.789568,52,12.327674
-20.331724,14,12.358031
-992.130783,1000,14.07934
-25.960649,33,14.142324
-26.811605,24,14.187391
-1.61243,14,14.222546
-88.22795,74,14.402571
-39.115188,40,14.468149
-234.451508,200,14.834236
-72.700872,73,14.960131
-43.709348,59,15.139657
-84.491668,61,15.239856
-46.666141,93,15.516799
-23.810499,18,15.543043
-80.122423,54,15.640054
3.425152,24,15.682587
-24.930841,22,15.717948
-44.510483,36,15.776275
-10.275313,19,15.807397
-26.975386,15,15.83496
-115.203425,109,16.012378
3.464161,40,16.076205
-11.29751,11,16.092724
-87.036549,104,16.266415
-21.422004,15,16.291029
-43.460109,47,16.370045
-13.512941,28,16.416939
-96.452754,130,16.723732
-50.77603,42,16.788188
-41.046921,36,16.846889
-151.948391,134,17.062754
-148.248074,105,17.228682
-143.08773,112,17.414133
-89.5603,80,17.566895
-71.265154,78,17.690457
-44.192152,40,17.757624
-141.756844,104,17.942732
-309.332207,250,22.638883
-183.48273,215,23.0006
-80.787943,70,23.118162
-885.206275,1000,24.783304
-27.008205,22,24.820211
-19.330175,33,24.874822
-36.190401,62,24.980253
-199.168615,156,25.223878
-10.432025,16,25.248559
-18.237012,21,25.281138
-2.560122,65,25.384721
