#{"t_start": 1764883055.9193907, "env_id": "Ant-v5"}
r,l,t
-32.838749,22,0.889402
-76.087105,58,0.945268
-91.995447,83,1.021935
-24.453326,24,1.046024
-20.494536,13,1.05729
12.852192,35,1.090372
-63.165321,74,1.156595
-53.353227,65,1.215277
-122.647524,136,1.338776
-26.451427,29,1.363946
-120.774541,99,1.453485
-99.049798,93,1.536573
-4.247835,30,1.56496
-57.23799,52,1.612996
-133.657191,84,1.690756
-22.601113,21,1.709524
-74.932394,80,1.783209
-19.525519,31,1.811642
-30.58141,16,1.825634
-97.867691,89,1.908144
-24.225642,28,1.934034
-44.766624,28,1.95898
-9.454662,20,1.977842
-39.295844,29,2.004396
-12.620432,18,2.021472
-27.61507,33,2.050687
-19.700095,17,2.06657
-47.787243,49,2.111358
-99.5962,81,2.184208
-1021.319415,1000,3.401706
-34.300061,22,3.421962
-1113.570139,1000,4.34458
-63.034046,35,4.37664
-86.958886,105,4.469177
-161.831272,131,4.593807
-53.984503,46,4.635026
-14.591625,12,4.645511
-27.213166,18,4.662988
-11.839962,14,4.677223
-1051.434443,1000,5.876484
-88.522243,76,5.945877
-223.292525,116,6.051075
-37.671204,52,6.098049
-20.169961,16,6.112207
-114.538061,52,6.158835
-80.836032,67,6.219036
-51.088395,37,6.252685
-33.187672,47,6.294834
-122.715985,144,6.428083
-34.295629,17,6.442969
-53.108881,28,6.469427
-23.229462,48,6.512272
-76.268892,47,6.554359
-54.519563,85,6.630985
-99.351504,58,6.682125
-30.172161,16,6.696512
-45.731285,42,6.736823
-52.195152,106,6.831126
-63.883187,46,6.871876
-42.197227,23,6.893794
-10.227357,25,6.915365
-54.932829,64,6.973795
-27.12766,33,7.003574
-87.760768,59,7.058272
-143.289317,87,7.417845
-33.203924,41,7.454565
-4.057962,12,7.465181
-93.412093,79,7.535872
-43.666457,49,7.580292
-10.213696,22,7.601723
-1062.33269,1000,8.554417
-28.130184,65,8.630356
-36.583369,24,8.658267
-48.865379,37,8.69668
-104.413719,90,8.785924
-38.410181,40,8.822459
-47.145186,52,8.868822
-19.603464,15,8.882541
-14.559398,12,8.894045
-21.519474,26,8.917539
-140.987467,116,9.021468
-7.808022,31,9.048164
-25.827455,21,9.067358
-47.115035,65,9.124826
-49.916635,40,9.160477
-96.435253,60,9.22037
-37.516384,52,9.267948
-86.913406,89,9.633206
-45.231881,44,9.679514
-36.896981,50,9.725516
-43.035268,95,9.818458
-90.755215,77,9.887422
-15.965635,11,9.896727
-53.165988,46,9.944829
-41.998226,39,9.980074
-172.252917,176,10.144706
-68.832945,96,10.229345
-90.545982,56,10.297937
-17.338328,18,10.315666
-162.688427,91,10.422445
-6.484633,10,10.435154
-73.569231,50,10.481673
-13.452287,8,10.488859
-1084.757173,1000,15.724825
-16.961339,20,15.742659
-51.779026,87,15.820971
-11.841067,25,16.152624
-38.268134,28,16.177301
-61.416636,51,16.231903
-17.178995,11,16.242219
-9.543775,11,16.251743
-7.677274,18,16.268773
-1046.220352,1000,17.229531
-13.829417,15,17.243269
-31.128096,59,17.297776
-162.704308,120,17.40578
-24.71213,17,17.422254
-170.76013,159,17.572088
-73.67246,32,17.60146
-10.416743,15,17.615222
-17.558154,22,17.635438
-48.55147,42,17.678612
-65.005156,35,17.712558
-40.599362,34,17.743399
-1042.173237,1000,18.967468
-13.372492,26,18.993694
-14.588322,12,19.007249
-13.51606,19,19.024776
-151.941258,129,19.161638
-74.106396,74,19.239785
-36.942599,53,19.289233
-20.126034,43,19.327912
-43.754077,37,19.360935
-8.610594,20,19.379772
-155.958708,95,19.467156
-76.733661,55,19.517326
-54.514479,84,19.592375
-3.043162,21,19.612041
-44.368041,40,19.647981
-48.334221,78,19.718327
-24.177466,18,19.735472
-46.301437,39,19.77047
-71.597124,35,19.801032
-12.096147,14,19.814061
-97.019192,71,19.878627
-69.527762,39,19.914318
-29.121634,31,19.942785
-31.289747,31,19.972673
-1014.167072,1000,21.234621
-15.213001,36,21.271935
-38.439792,54,21.32145
-147.064736,165,21.471233
-67.184478,51,21.522331
-28.202209,21,21.541585
-88.48176,100,21.630222
-31.861394,39,21.664982
-1036.131144,1000,22.914966
-67.671805,59,22.970074
-84.82764,49,23.016102
-19.43399,15,23.031
-1030.324712,1000,23.972083
-1099.632943,1000,25.219254
-1039.832223,1000,26.206463
-112.199251,142,26.347133
-36.310733,44,26.387636
-19.225371,35,26.418363
-35.904868,64,26.47645
-25.258417,18,26.492002
-85.964039,108,26.597173
-36.072964,38,30.847161
-14.609459,34,30.878693
-56.039063,43,30.9195
-61.152124,37,30.955941
-14.859393,19,30.975698
-1025.990582,1000,32.193877
-11.189478,28,32.221794
-56.227517,59,32.282538
-69.641357,52,32.329052
-20.572647,43,32.36806
-22.766365,23,32.393932
-20.039295,35,32.430558
-11.818326,21,32.450621
-979.69859,1000,33.450153
-20.410814,13,33.463489
-150.219817,117,33.850163
-100.197371,99,33.939929
