#{"t_start": 1764997027.529922, "env_id": "Ant-v5"}
r,l,t
-78.515634,62,1.369788
-113.051966,87,2.70819
-56.87075,40,2.779045
-31.568111,31,2.833901
-11.139593,47,3.820167
-20.856923,25,3.864452
-41.742825,35,3.926204
-59.133906,64,4.993024
-61.6255,105,5.177231
-38.397135,22,5.694191
-71.912911,74,5.826308
-47.281577,45,5.905267
-16.565414,14,6.823991
-17.305991,27,6.87207
-79.649778,68,6.991644
-42.402516,52,7.944245
-129.912645,78,8.112952
-36.514192,45,9.501623
-18.57643,20,9.545707
-46.449864,67,9.663522
-72.471267,63,10.69856
-2.098662,41,10.774117
-75.786903,47,11.745166
-11.479285,11,11.767656
-81.670813,85,11.970326
-96.714398,47,12.971286
-55.369227,55,13.221214
-174.045462,126,14.904776
-9.003647,12,14.926024
-142.193671,107,15.841696
-23.935424,21,15.882925
-50.952997,46,16.725866
-1048.961735,1000,20.530953
-27.039529,32,21.475212
-67.652791,96,21.6562
-9.305877,15,21.683028
-80.62985,93,22.996757
-70.617536,70,23.895699
-25.705529,18,23.928221
-155.832012,129,24.832307
-49.791484,69,24.984158
-16.595766,17,26.324347
-15.894246,53,26.417692
-12.676634,17,26.447708
-10.620788,18,26.479646
-23.135829,37,27.5181
-76.876138,59,27.621441
-1087.903733,1000,32.44706
-60.397372,33,32.505583
-8.374005,13,32.528736
-108.885097,63,34.359262
-164.671783,266,35.680007
-63.937275,88,35.836464
-11.32758,18,36.509041
-92.388336,106,36.694464
-35.487415,33,37.839127
-58.983772,52,37.941233
-37.195348,29,37.992526
-1001.985481,1000,42.5555
-81.481811,42,42.63303
-9.735652,30,43.947047
-20.937498,20,44.132926
-20.667862,10,44.153025
-33.164403,27,44.200199
-13.233108,32,44.258629
-41.521679,43,45.219714
-42.312637,47,45.304224
-24.452303,21,45.351584
-51.987341,40,46.785597
-79.046822,98,46.958398
-1114.963323,1000,51.755502
-9.108039,33,51.835341
-1042.885887,1000,55.644268
-69.121244,56,56.303156
-64.607264,26,56.352636
-46.683431,37,56.417367
-39.086232,30,56.46964
-40.244561,58,57.361717
-1062.501877,1000,60.734677
-67.981327,65,60.850232
-74.603539,41,60.921831
-64.481504,44,62.194948
-29.1198,15,62.221643
-107.245646,54,62.318787
-36.565631,51,70.1746
-19.227218,28,70.223999
-46.390947,41,70.295409
-57.819942,48,71.223964
-75.712668,78,71.359529
-28.540035,24,71.401552
-22.065974,14,72.34664
-14.930992,17,72.376572
-10.311394,31,72.431031
-22.174408,12,72.452405
-12.78568,22,72.491374
-25.375307,24,72.533402
-88.366973,138,73.487957
-96.998007,97,74.309205
-36.645197,45,75.039507
-337.484522,220,76.112979
-21.960243,29,76.768339
-89.335672,76,76.904568
-62.0812,37,76.969737
-90.91087,62,78.217345
-94.905351,82,79.238591
-20.184625,16,79.286978
-15.215831,19,79.324735
-22.844423,15,79.367407
-97.83829,77,80.306744
-20.344443,19,80.340205
-2.697976,20,80.375389
-11.291169,25,80.41915
-12.663102,13,80.442066
-54.409722,39,80.510133
-31.170938,24,81.310768
-43.683109,47,81.396683
-63.259007,59,81.499905
-95.351447,126,82.813499
-17.982783,26,83.460534
-20.787472,28,83.509935
-1080.222112,1000,86.905326
-23.22041,14,86.938776
-33.558116,53,87.052737
-49.113331,52,88.435359
-39.154531,27,88.483659
-26.342173,42,88.558035
-41.844119,35,88.619568
-41.28918,26,89.517171
-22.058591,15,89.544009
-1058.348439,1000,93.152123
-211.040383,156,94.218925
-37.091007,17,94.282074
-46.695714,43,94.381874
-78.25663,35,94.461119
-51.298218,68,95.516525
-0.246024,50,95.604076
-67.219386,48,96.80011
-37.232262,35,96.86181
-16.876639,21,96.898908
-60.62438,74,97.931813
-758.493732,697,100.417892
-142.607871,109,101.154943
-53.082782,52,101.245148
-59.622718,75,102.113288
-66.60263,39,102.180952
-55.429468,42,103.376588
-63.822064,80,103.519608
-22.556948,50,104.415292
-26.157173,42,104.488431
-52.981435,34,104.547548
-25.90798,17,104.577361
-53.045208,25,105.529405
0.740892,23,105.569713
-14.54684,12,105.591073
-34.132436,60,105.695592
-43.366274,51,106.665879
-35.062047,29,106.718172
-34.134811,20,106.753372
-157.699805,107,107.774768
-50.536501,40,107.844831
-17.037243,16,107.873115
-22.21133,15,108.956701
-26.489926,44,109.037236
-30.033288,37,109.101985
-25.382523,42,110.167211
-9.259282,15,110.193749
-26.435218,76,110.325446
-1121.235738,1000,114.057707
-21.479178,13,114.081775
-52.256735,30,114.138891
-24.248353,16,115.051444
-53.344597,66,115.169315
-86.825033,55,115.264859
-42.144176,39,116.42075
-8.743447,15,116.448275
-24.926086,53,116.540923
-17.217214,14,116.565464
-107.098311,82,117.727885
-82.671242,37,117.794794
-35.732014,122,118.756173
-47.653309,29,119.416382
-41.526799,62,119.524727
-5.733792,33,119.582421
-8.729248,10,119.60024
-70.128052,91,120.743081
-48.655847,37,120.811594
-97.91008,149,121.846565
-32.435118,51,122.078809
-13.379034,25,122.124275
-8.855118,32,122.18154
-131.698287,82,123.22783
-83.258381,60,123.332273
-1171.334311,1000,127.165579
-14.002897,13,127.189357
-29.222624,65,128.234226
-80.851187,57,128.333354
5.69956,99,129.53519
-0.915898,17,129.565396
-17.540032,42,130.162455
-15.037318,11,130.1823
-4.69794,56,130.279909
-178.035602,160,133.354836
-14.51816,28,134.033027
-25.562695,14,134.05802
-90.552482,120,134.972264
-15.49344,10,134.990308
-1067.605217,1000,138.279648
-23.933856,17,139.083686
-127.858058,82,139.229278
-12.988342,11,139.249741
-28.537673,15,139.276969
-35.60953,21,140.384152
0.535405,26,140.430056
-71.434079,61,140.53638
-77.887152,79,141.56945
-17.178882,16,141.597883
-42.576664,50,141.684927
-79.595301,46,142.912408
-72.876898,66,143.027221
-109.517244,89,144.133145
-191.621806,143,145.075054
-1109.246105,1000,148.511903
-62.734957,42,148.585447
-79.853906,82,149.715052
-23.574563,17,149.74521
-21.089025,22,149.783836
-90.689806,90,150.591226
-26.059136,13,150.61517
-79.080535,61,150.723792
-56.086418,55,152.08145
-69.528498,44,152.157845
-19.436052,16,152.185817
-89.20656,70,153.384946
-36.812408,29,153.438208
-25.127864,26,153.48606
-54.889706,51,154.495454
-247.837938,176,155.361855
-44.089753,33,155.421208
-37.615247,16,156.079603
-38.367627,25,156.124422
-53.915189,37,156.189951
-47.657082,32,156.259903
-53.726651,57,157.201272
-22.301034,23,157.245814
-24.373403,13,157.269451
-33.624041,101,158.314262
-30.237139,25,158.358489
-94.850962,91,159.109022
-46.332729,24,159.15134
-31.844631,31,159.206213
-67.633852,57,160.177779
-15.567262,13,160.20113
-20.684007,17,160.23158
-50.212001,47,160.314056
0.13919,17,160.344479
-29.148194,12,160.365922
-54.393489,47,161.197105
-61.144676,48,161.281443
-54.890289,69,162.221419
-61.728787,26,162.271023
-41.309897,22,162.310333
-14.028812,16,162.338794
-98.325493,94,163.35091
-13.135007,25,163.397394
-23.773069,25,163.443726
-12.028144,18,163.477114
-22.103733,19,164.415784
-140.048821,101,164.595268
-37.328483,29,165.791629
