#{"t_start": 1765339557.8015175, "env_id": "Ant-v5"}
r,l,t
-77.636805,84,1.31726
-1076.519774,1000,2.17798
-16.443006,52,2.226184
-13.291036,12,2.236443
-57.991054,50,2.27847
-15.76698,34,2.306986
-72.0604,100,2.390595
-44.720108,79,2.456976
-15.678173,18,2.472101
-16.429469,81,2.540189
-175.153987,147,2.663425
-65.281037,84,2.733979
-144.331603,61,2.78502
-29.013159,16,2.798307
-30.488993,28,2.821594
-24.040252,32,2.848485
-9.852996,26,2.870247
-38.844295,26,2.89182
-15.309787,29,2.916208
-58.114158,40,2.94995
-32.697508,28,2.973511
-24.700311,36,3.271719
-32.128284,17,3.28762
-22.510219,38,3.320748
-48.204002,27,3.3437
-29.422614,28,3.367527
-8.888383,10,3.375978
-11.85081,15,3.388898
-208.185017,233,3.586867
-77.780349,72,3.647589
-19.938815,17,3.66187
-103.217293,104,3.749308
-983.034518,1000,4.607234
-33.453469,44,4.644321
-65.867036,56,4.691243
-54.633974,49,4.732404
-16.022966,42,4.767693
-12.901708,25,4.788684
9.494358,33,4.816358
-95.962974,56,4.863358
-43.495295,22,4.882008
-13.550111,18,4.897329
-1020.346727,1000,6.003875
-9.183633,13,6.015104
-18.447246,33,6.042855
-49.327876,33,6.070567
-235.337033,189,6.229257
-84.751687,50,6.271396
-156.623441,147,6.397219
-1062.520109,1000,7.619612
-90.905925,86,7.692256
-61.674067,28,7.715634
-164.916522,147,7.838727
-37.12673,33,7.8665
-55.327833,70,7.925448
-28.265204,52,7.973852
-128.578329,114,8.069826
-14.862008,33,8.097659
-203.560403,158,8.230806
-61.018377,68,8.288455
-115.459043,153,8.41917
-74.271082,76,8.482927
-10.101267,15,8.495607
-22.695234,22,8.514107
-51.042376,37,8.545073
-100.941578,60,8.595706
-98.985085,115,8.692111
-24.724096,17,8.706354
-38.770331,37,8.737144
-51.546302,63,8.790181
-34.548831,47,8.82977
-49.868056,37,8.860685
-25.296418,19,8.876853
-105.848696,130,8.985681
-11.643362,15,8.998234
-16.333887,14,9.009948
-88.716245,116,9.366236
-22.722482,19,9.383563
-28.214596,32,9.410776
-6.166517,17,9.425179
-10.382159,13,9.436094
-11.382565,14,9.448002
-72.295295,71,9.507811
-73.674694,60,9.558306
-51.057361,28,9.5819
-53.696147,51,9.625495
-1045.997116,1000,10.484616
-65.655463,44,10.522065
-24.802235,22,10.540608
-23.427928,32,10.567632
-22.090284,16,10.581131
-16.857177,22,10.599795
-23.075104,32,10.627002
-41.22479,24,10.647193
-84.60258,85,10.718373
-28.257395,36,10.748792
-6.040132,17,10.763185
-19.077289,20,10.780026
-104.257613,49,10.821095
-1029.349186,1000,15.859884
-57.43498,39,15.892858
0.35938,26,15.914725
-21.067865,12,15.924844
-16.197926,41,15.959661
-47.553041,42,15.9951
-36.415077,48,16.035308
-7.960102,20,16.052349
-22.079371,28,16.075795
-22.860714,70,16.134536
-21.823661,34,16.16334
-12.096686,13,16.174294
-32.179065,24,16.194653
-23.152552,28,16.218077
-58.539166,65,16.272995
-208.797821,143,16.393569
-51.339802,54,16.438836
-37.109673,36,16.469181
-56.905364,50,16.511563
-17.348252,11,16.520892
-13.683055,11,16.53016
-85.508961,65,16.5849
-10.607791,21,16.602618
-5.535911,16,16.616137
-102.859552,79,16.682893
-30.904261,25,16.704018
-144.823345,99,16.787363
-6.890061,39,16.820038
-13.222019,11,16.829214
-43.701607,33,16.856879
-86.781496,59,16.911036
-28.117634,36,16.942132
-68.24853,66,16.99759
-67.789412,73,17.314482
-100.717903,116,17.412586
-29.918278,25,17.433656
-11.961507,34,17.462126
-77.49421,51,17.504987
-29.986401,25,17.526271
-19.804012,13,17.537153
-58.372314,69,17.59543
-55.658177,34,17.624285
-34.956899,41,17.65882
-925.839721,1000,18.51408
-19.293025,17,18.528763
-18.377335,13,18.539726
-56.692857,48,18.579926
-42.742274,42,18.615448
-9.357351,12,18.625478
-14.981593,13,18.636521
-26.1507,23,18.655871
-9.192253,15,18.668607
-67.479494,34,18.697146
-6.3578,34,18.725785
2.961751,38,18.757544
-79.469759,52,18.801145
-67.981374,76,18.865584
-28.79141,34,18.894462
-76.519071,72,18.954772
-25.719867,32,18.981644
-61.67128,53,19.026237
-15.821334,29,19.306701
-17.399758,13,19.317885
-15.970001,18,19.332968
-72.056655,53,19.377368
-12.289747,12,19.387712
-50.201128,35,19.417428
-133.789115,125,19.522109
-87.296659,68,19.579483
-34.394849,35,19.608976
-31.298425,53,19.653516
-75.865689,73,19.714865
-30.756748,25,19.736082
-283.675147,181,19.888119
-14.687721,21,19.905972
-27.013348,72,19.966336
-57.51233,36,19.996449
-19.746072,22,20.015092
-5.087933,27,20.03783
-84.239333,43,20.073797
-30.836011,18,20.089022
-66.476377,66,20.144803
-96.821287,77,20.209246
-33.556854,23,20.22862
-37.975763,31,20.254696
-12.241657,11,20.264035
-9.584315,12,20.274079
-190.779331,189,20.43269
-14.656079,17,20.446999
-29.120298,49,20.488143
-47.308711,16,20.50161
-15.519093,10,20.510078
-960.557304,1000,21.623143
-1013.637195,1000,22.481127
-14.564417,8,22.488269
-68.960422,52,22.53231
-95.790805,116,22.6299
-20.43034,26,22.651863
3.647338,24,22.67211
-48.580969,56,22.719842
-100.962823,59,22.7695
-931.686729,1000,23.883302
-88.94883,57,23.931436
-124.419703,115,24.0281
-46.568371,67,24.084825
-33.008151,40,24.11851
-78.069725,57,24.166681
-26.440893,18,24.181986
-43.834651,35,24.211376
-19.79939,12,24.221455
-11.0634,17,24.235922
-7.961868,22,24.25452
-6.581072,15,24.267218
-72.733696,97,24.348539
-47.618639,38,24.380526
-52.940972,50,24.424116
-934.887454,1000,28.803078
-83.555199,65,28.858021
-43.828468,34,28.887558
-31.229948,28,28.911806
-31.20593,25,28.932582
-28.828761,29,28.957097
-57.049371,76,29.02067
-1024.273216,1000,29.878198
-78.305627,85,29.949864
-92.191523,111,30.042966
-77.354948,37,30.07405
-0.386518,19,30.090147
-11.257615,18,30.105184
-51.231094,58,30.153827
-12.073459,20,30.170515
-30.602983,29,30.195123
-17.291497,13,30.206031
-25.225272,26,30.227877
-27.901938,12,30.237868
-97.14187,164,30.628963
-27.050685,16,30.642461
-28.186822,48,30.682625
-223.210013,199,30.850125
-50.267672,25,30.871536
-6.80931,16,30.885233
-18.0286,19,30.901379
-65.831907,61,30.952537
-13.736348,16,30.965966
-959.881652,1000,31.826266
-164.713534,145,31.948726
-3.635703,9,31.956258
-55.930364,45,31.994098
-19.787497,16,32.007599
-11.989665,21,32.025564
-42.702924,21,32.043339
-46.138223,76,32.107569
-20.085268,19,32.123497
-16.397345,35,32.15297
-105.999717,106,32.242215
-26.186879,26,32.264068
-30.842308,82,32.5879
2.581285,74,32.649838
-7.440939,17,32.664323
-55.114542,103,32.750851
-21.328785,17,32.7652
-56.020689,55,32.810925
-576.278122,552,33.282923
-33.250911,25,33.304229
-57.565128,50,33.346251
-52.673841,37,33.37773
-950.96453,1000,34.233232
-163.378758,145,34.611215
-14.532428,39,34.644319
-18.533133,47,34.683903
-9.526896,22,34.702667
-877.169892,1000,35.559026
-64.073388,69,35.617032
-30.439314,89,35.69174
-22.932533,37,35.723093
-31.61773,31,35.749055
-20.328803,50,35.791021
-34.369186,29,35.815645
-138.331192,156,35.946347
-22.437247,26,35.968215
-87.360163,64,36.021771
-43.054504,31,36.048196
-49.992436,47,36.088646
-106.950718,106,36.179987
-0.011089,10,36.188508
-116.46267,106,36.277938
-953.57752,1000,37.393612
-18.631321,17,37.408547
-39.648844,59,37.458181
-24.619472,42,37.493612
-881.196655,1000,39.782548
-79.630338,54,39.828142
-38.49913,32,39.855254
-58.672799,33,39.882915
-6.298063,11,39.89224
-3.360381,28,39.91573
-44.739935,42,39.95088
-49.556854,41,39.985335
-16.135525,13,39.996146
-26.917169,32,40.02314
9.947613,20,40.039917
-58.719825,42,40.075296
-13.121779,19,40.091244
-7.184936,15,40.103986
-27.031363,26,40.125928
-23.47743,17,40.140189
-53.438662,61,40.191215
-30.185119,39,40.224118
-5.517019,13,40.234995
-16.662039,41,40.269207
-11.084121,25,40.290354
-947.583387,1000,41.146912
-108.581418,117,41.245893
-34.311582,81,41.314681
-24.697854,19,41.330746
-39.918847,37,41.361808
-44.176946,26,41.383941
-41.507282,158,41.775647
-44.825766,35,41.805583
-81.553526,86,41.878175
-17.687147,16,41.891661
-6.974397,13,41.902603
-39.414496,31,41.928826
-868.961662,1000,42.78899
-9.791478,17,42.803546
-126.479149,80,42.870949
-911.352258,1000,43.996999
-40.058451,54,44.042579
-6.291504,30,44.067948
-858.39766,1000,44.924107
-22.712567,56,44.971431
-25.914106,17,44.985805
-36.687326,45,45.023818
-52.754502,61,45.075356
-58.508276,35,45.10488
3.831805,26,45.126677
-17.40701,45,45.164548
-827.98336,1000,46.278859
-11.578007,45,46.3167
-820.566367,1000,47.17527
-0.060534,16,47.189275
-33.563606,36,47.219756
-27.921348,17,47.23415
-851.125261,1000,48.348431
-37.230875,34,48.377563
-17.660514,22,48.396253
-30.162601,35,48.425865
-45.970384,42,48.461007
-17.039627,21,48.478539
-63.504721,57,48.526225
-55.017669,44,48.563632
-33.399119,31,48.589798
-892.002308,1000,52.310479
-87.862363,76,52.374541
-47.060543,47,52.66801
-51.292683,46,52.706631
-41.993136,24,52.726921
-143.326335,125,52.831538
-23.09325,39,52.864412
-825.137416,1000,53.71856
-3.210894,16,53.732542
-25.080887,35,53.762165
-26.676277,21,53.779838
-9.962215,15,53.792485
-73.115389,64,53.846433
-10.499008,9,53.854011
-50.278677,34,53.882739
-172.771364,144,54.003231
-2.912963,17,54.017601
-17.057101,41,54.052145
1.11081,18,54.067177
-17.215813,18,54.082342
-56.640158,35,54.11152
-10.055865,12,54.121593
