#{"t_start": 1764808870.413026, "env_id": "Ant-v5"}
r,l,t
-106.841949,54,1.028734
-13.07084,12,1.0401
-182.896531,154,1.177287
-1050.807024,1000,2.116483
-105.36249,68,2.179255
-13.558087,23,2.199092
-92.738624,60,2.254028
-162.638593,146,2.388861
-73.648652,96,2.478257
-37.503884,59,2.538539
-20.393031,22,2.55882
-99.374794,117,2.673653
-1065.73929,1000,3.897857
-24.084506,52,3.944762
-13.620886,12,3.955432
-19.577509,13,3.96778
-17.677087,11,3.977786
-14.476028,33,4.007092
-84.731537,66,4.067173
-19.181382,15,4.080804
-13.349607,34,4.112818
-88.579964,72,4.179954
-38.12634,41,4.217926
-11.01874,40,4.25448
-2.238865,13,4.266988
-30.899258,18,4.283087
-14.144979,33,4.314025
-95.816138,81,4.392622
-54.456863,55,4.451981
-18.374189,25,4.478353
-30.458085,39,4.514912
-16.393414,10,4.525335
-140.358683,83,4.600658
-35.392963,17,4.617153
-1051.745063,1000,5.833484
-164.059457,146,5.972073
-185.765427,234,6.184084
-5.810804,57,6.235871
-59.289678,46,6.27909
-267.266182,224,6.486357
-8.62774,15,6.500072
-30.097925,21,6.518518
-21.327574,19,6.53643
-18.691336,41,6.573679
-97.189079,66,6.636233
-1095.07177,1000,7.850163
-9.810239,14,7.863469
-78.194611,75,7.9314
-79.498746,53,7.980618
-29.633636,26,8.004167
9.15798,44,8.044475
-45.693589,28,8.070462
-36.349534,42,8.109114
-141.067363,110,8.209066
-31.40902,42,8.247429
-4.371382,12,8.258259
-27.355842,36,8.292468
-20.796684,17,8.307949
-155.669904,99,8.407792
-14.066023,15,8.421742
-3.286226,15,8.435416
-101.553183,112,8.538385
-41.285146,22,8.557896
-12.096149,19,8.575678
-41.577945,36,8.607861
-3.887056,41,8.645619
-35.853445,15,8.659685
-45.223302,28,8.685003
-32.6334,27,8.709767
-53.162021,35,8.741304
-50.266809,27,8.766876
-27.746436,21,8.786139
-143.630469,118,8.894357
-1049.550646,1000,10.121801
-40.039639,39,10.158112
-1.456813,21,10.176828
-49.955541,37,10.211842
-23.520136,54,10.262283
-67.771163,54,10.312598
-27.331141,16,10.328037
-61.300329,47,10.371322
-19.332566,29,10.397554
-1039.872568,1000,11.405145
-39.210984,55,11.460925
-102.804368,82,16.997001
-9.467959,24,17.025637
-8.507018,45,17.079383
-54.202375,60,17.155346
-13.542714,47,17.214083
-28.670669,17,17.236665
-9.948667,49,18.175075
-35.03365,34,18.216186
-48.191999,20,18.238599
-120.653773,145,18.436338
3.756053,24,18.462548
-23.173505,20,18.485829
-43.535809,38,18.526185
-1.965671,7,18.534904
-14.164307,15,18.552205
-36.140656,55,18.618062
-31.137782,29,18.650423
-11.552467,13,18.663291
-57.781672,64,18.735856
-16.834371,18,18.755461
-105.222821,135,18.904543
-18.06418,31,18.938312
-999.847295,1000,20.130895
-67.663702,44,20.183183
-47.124203,57,20.251707
-60.019205,43,20.305003
-44.80973,46,20.358637
-41.998809,138,20.526689
-63.719028,64,20.605485
-22.028599,16,21.146153
-7.753497,35,21.185256
-38.587403,25,21.213898
-44.777292,29,21.244962
-120.725115,107,21.365797
-24.5302,19,21.387519
-59.776411,51,21.454202
-1032.469397,1000,22.659981
-23.756852,18,22.678787
-1006.226154,1000,25.070817
-33.624969,19,25.090774
-14.704182,28,25.119703
-13.758256,29,25.148651
-70.351276,54,25.204013
-36.201909,45,25.248904
-23.843631,24,25.272804
-26.760432,37,25.310854
-13.747662,10,25.32157
-11.306574,21,25.344395
-1035.937918,1000,26.638792
-75.531021,58,26.698878
-33.349996,24,26.723937
-44.155126,60,26.787441
-39.865113,29,26.818856
-102.604403,87,26.910537
-32.104462,29,26.94133
-934.538578,1000,28.662151
-48.285046,39,28.706553
-62.943077,37,28.746018
-19.72398,12,28.758672
-117.96536,81,28.848645
-33.1686,38,28.89959
-86.455382,118,29.048118
-55.42076,35,29.089017
-141.410272,123,29.219415
-22.244037,14,29.23446
-1056.176659,1000,30.815602
-32.324012,14,30.829867
-31.846435,72,30.908572
-12.1693,26,30.937351
-15.028559,13,30.950598
-11.719244,16,30.968018
-63.65573,86,31.057081
-86.952904,105,31.167475
-63.646776,46,31.226626
-62.523245,56,31.299416
-6.668255,18,31.323159
-45.067842,50,31.38839
-35.005341,18,31.412435
-108.841321,105,31.554324
-21.446369,23,31.587355
-75.028626,75,31.690818
-91.512494,77,31.800448
-28.423319,15,31.820694
-42.673156,23,31.849385
-55.498602,40,31.89604
-24.262917,16,31.914978
-11.010887,50,31.979085
-1033.416349,1000,39.21891
-23.162855,20,39.2446
-996.878565,1000,40.472662
-6.12616,21,40.49797
-70.313635,82,40.608004
-107.055007,61,40.694756
-20.992091,24,40.73125
-32.439916,19,40.760699
-15.292649,12,40.776172
-12.150871,9,40.789492
-21.384221,20,40.817549
-48.853484,58,40.890079
-19.750332,27,40.919288
-15.66211,13,40.933583
-53.958532,37,40.972977
-50.306827,39,41.015398
-18.437979,14,41.028767
-32.11799,20,41.050886
-37.463529,75,41.127768
-48.734739,81,41.210479
-1019.15424,1000,42.987651
-20.925853,19,43.016215
6.857553,14,43.037538
-18.019423,14,43.054872
-169.764694,173,43.260413
-1086.127055,1000,44.6048
-15.420478,20,44.630873
-40.72629,91,44.744817
-149.625259,117,45.658848
-8.712918,10,45.671997
-996.296991,1000,46.941861
-140.316853,126,47.117577
-21.397749,14,47.13677
-73.618008,68,47.21893
-24.99983,22,47.244414
-54.280922,64,47.320839
-24.71909,31,47.356463
-179.514981,145,47.530475
-76.010706,69,47.609513
-22.736614,14,47.625651
-1008.256053,1000,49.506236
-140.572673,129,49.674256
-121.388605,78,49.78705
-80.966229,66,49.869436
-946.053508,1000,51.078268
-24.279279,13,51.09463
-991.801008,1000,53.212989
-37.779894,40,53.256252
-43.310731,68,53.326546
-44.895437,36,53.364786
-78.991828,98,53.475287
-33.634801,40,53.520662
-969.615387,1000,60.255561
-131.470062,94,60.363971
-876.063702,1000,61.536818
-171.149756,151,61.702294
-6.419744,47,61.754346
-94.916433,68,61.827484
-15.873944,15,61.84363
-4.363268,26,61.87285
-5.317383,14,61.887482
-58.015617,62,61.956279
-4.432139,49,62.009021
-67.969303,66,62.082879
-947.090956,1000,63.56668
-24.75979,22,63.589464
-49.354772,44,63.636778
-94.745145,103,63.7434
-34.925761,28,63.773284
-53.91617,37,63.811335
-20.860779,32,63.843638
-13.768029,12,63.856572
-19.052574,21,63.878618
-938.286688,1000,64.937814
-902.209324,1000,66.657378
-9.824664,28,66.687212
-31.791798,15,66.702418
-59.986444,41,66.742724
-14.203042,21,66.764996
-10.407815,18,66.78484
-16.415076,14,66.799083
-95.19534,82,66.882583
-16.76163,18,66.901543
-2.823635,14,66.916403
-125.198678,121,67.043028
-885.80428,1000,69.120412
-60.10039,44,69.191227
-21.883082,17,69.218546
-162.993202,110,69.386006
-30.779469,18,69.412235
-64.046172,118,69.572198
-37.159935,28,69.604078
-29.437502,30,69.636137
-384.538801,269,69.944632
-26.451054,15,69.966906
-19.849255,15,69.987885
-177.975916,122,70.166968
-18.497614,19,70.194411
-56.463327,29,70.236586
-46.081449,33,70.284191
-13.486272,12,70.300476
-80.85105,46,70.361796
-54.571909,32,70.399165
-797.117688,1000,72.225942
-111.635173,142,72.389303
-947.727544,1000,78.059951
-99.69704,105,78.167723
-46.033846,35,78.202221
-91.217196,75,78.282058
-165.016529,116,78.398183
-57.014583,35,78.433824
-42.719352,36,78.468263
-29.870642,42,78.509351
-49.949318,54,78.560442
-33.357411,25,78.583633
-31.21418,77,78.657551
-44.123633,37,78.694611
-132.711168,93,78.794135
-28.02856,19,78.813995
-67.007686,78,79.703442
-11.363942,27,79.729544
-61.159643,103,79.834757
-54.227052,54,79.891018
-33.39052,89,79.981254
-19.998978,17,80.000312
-9.781123,19,80.020166
-62.299254,49,80.072694
-19.42969,30,80.105124
-891.178667,1000,81.306172
-50.119106,57,81.373372
-36.779966,35,81.417128
-22.764066,19,81.439301
-7.675054,11,81.45299
-27.586988,40,81.499156
-69.098659,63,81.583629
-13.614941,24,81.61992
-8.289277,16,81.641321
-23.494328,15,81.660625
-75.67548,59,81.733932
-12.35615,22,81.758814
-22.898561,19,81.781861
-12.67878,13,81.796789
-36.303762,21,81.821126
-34.489951,38,81.863374
-50.123595,73,81.940875
-4.803589,31,81.973874
-36.953657,105,82.982696
-22.928017,36,83.018201
-162.740787,118,83.142269
-39.207199,65,83.205784
-5.760167,36,83.244337
-78.342633,68,83.319832
-63.233999,52,83.37326
-27.846955,69,83.440167
-848.51923,1000,84.498976
-68.463121,140,84.635479
-32.452273,68,84.70528
-16.842261,21,84.726194
-16.407058,14,84.739842
18.623112,40,84.778928
-34.04564,28,84.807224
-865.890107,1000,86.488998
-19.245396,52,86.537776
-9.766415,19,86.556539
-46.425219,65,86.618357
-19.265883,24,86.641513
-13.484462,17,86.658317
-85.754837,75,86.730041
-25.836255,75,86.800148
-0.580196,14,86.812812
-140.617017,127,86.930872
-42.799163,49,86.97771
-18.133456,24,87.000102
-25.087984,30,87.028587
-34.333529,50,87.076185
4.545465,38,87.113295
-17.168632,71,87.179104
-13.870791,22,87.200428
-78.327291,139,87.329997
-20.105527,27,87.357028
-31.470248,27,87.38247
-14.286028,10,87.39277
-21.522772,15,87.406499
-111.946649,99,87.500061
-26.910647,21,87.520146
-5.442079,70,87.584858
-21.555259,33,87.616397
-30.855926,37,87.658818
-141.880193,86,87.739151
-26.676809,90,88.268424
-57.681098,60,88.335154
-56.42116,57,88.398567
-39.417025,33,88.435734
-921.194356,1000,89.430512
-15.146745,37,89.464619
-38.349425,55,89.516717
-4.767758,38,89.552437
-81.334598,86,89.637598
-193.869812,235,89.860528
-53.42555,44,89.901544
-2.101615,26,89.925865
-59.049844,89,90.018059
-29.999461,22,90.039404
-6.141656,15,90.053648
-51.307451,60,90.110727
-45.166596,38,90.147377
-804.758908,1000,94.450191
-883.344684,1000,95.450945
-135.339164,90,95.535032
-54.763677,85,95.918981
-69.93319,69,95.985666
-67.18708,152,96.136039
-19.184377,23,96.157223
0.189037,55,96.207217
-11.586801,10,96.217099
-94.959677,87,96.307214
-49.657091,63,96.366356
-45.901564,37,96.400848
-43.989908,58,96.455202
-19.954464,32,96.4862
-30.992345,45,96.528798
-8.627297,38,96.564035
-6.772465,20,96.58243
-13.601549,18,96.599595
-8.324795,38,96.634964
0.207618,22,96.655914
-20.02075,38,96.692268
-20.55772,16,96.706359
-66.652021,88,96.794819
-42.353061,58,96.848366
-17.489078,29,96.878972
-818.848463,1000,98.617161
-19.476144,27,98.64149
-26.052902,15,98.65653
-29.628273,32,98.689889
-30.004884,38,98.727007
0.682962,25,98.751362
-18.143937,56,98.802893
-79.551908,72,98.875849
-813.421364,1000,99.841123
-23.146382,32,99.871685
-52.597681,38,99.907751
-803.838696,1000,101.250516
-18.003248,28,101.277292
-112.731717,126,101.41403
-869.095282,1000,102.447641
-20.707894,22,102.468447
-118.475443,91,102.564695
-18.745854,68,102.62999
-38.73831,30,102.657114
-5.891107,59,102.709643
-837.607167,1000,103.953472
-13.59683,28,103.9798
-6.254946,36,104.012852
-13.02199,12,104.024468
-39.976936,32,104.05406
-29.119145,22,104.075057
-58.946434,46,104.117138
-56.178796,83,104.194907
-24.577619,38,104.234863
-18.271289,43,104.276734
-53.166463,78,104.352112
-830.749991,1000,105.649106
-13.776536,29,105.676936
-17.686467,19,105.695571
-49.384518,27,105.720894
-32.70385,37,105.755974
-9.021644,42,105.795709
-92.809365,138,105.937529
-9.504789,50,105.986325
-63.986888,73,106.067638
-26.636836,18,106.090136
-34.192056,40,106.128419
-837.514992,1000,110.579064
-16.543378,34,110.611442
-23.325008,15,110.624603
-40.587099,83,110.69983
-73.910165,58,110.752792
-11.727232,29,110.780187
-50.690383,88,110.858758
-50.825007,84,110.933923
-67.797618,82,111.015271
-17.940027,29,111.041352
-201.683325,248,111.565968
-74.229831,48,111.608455
-65.235651,81,111.680615
-19.071518,19,111.697231
-11.331327,22,111.717635
-134.352629,120,111.829379
-20.295255,18,111.845618
-103.887667,76,111.913383
-41.690798,29,111.939541
-17.283109,45,111.985588
-27.344497,18,112.009399
-15.58301,19,112.031986
-15.121232,20,112.051175
-3.880988,12,112.062308
-804.258896,1000,113.011184
-7.937443,13,113.02307
-723.450138,1000,114.25016
-28.833541,19,114.268638
-25.842133,39,114.303851
-13.199393,29,114.332911
-36.389009,33,114.3684
-62.272458,69,114.431161
-71.226854,93,114.515155
-16.066474,59,114.568842
-72.484665,38,114.603956
-45.989715,38,114.637813
-19.488811,29,114.664743
-42.91919,56,114.715972
-819.58844,1000,116.02641
-34.145405,23,116.047249
-0.678456,40,116.083441
-13.420133,13,116.09558
-22.349804,22,116.114801
16.221791,82,116.188748
-21.752685,20,116.206826
-21.573726,39,116.242706
-18.452822,43,116.282883
-6.399666,27,116.308247
-87.849879,156,116.458133
-16.206601,67,116.51987
-738.718981,1000,117.463845
-66.760325,81,117.537967
-16.210624,89,117.625371
-62.032965,84,117.705925
-88.641409,192,118.173652
-15.255497,23,118.19486
-5.293303,57,118.246829
-95.71941,57,118.306693
-33.049285,24,118.328909
-133.267967,192,118.519274
-78.442555,69,118.585225
-20.272355,32,118.614468
1.113067,26,118.637308
-750.824426,1000,119.609
-12.338074,21,119.628138
-15.300734,24,119.650468
-82.583006,76,119.725252
-16.811782,19,119.746912
-45.828455,42,119.785563
53.843697,33,119.815072
-32.060571,56,119.865478
-21.18682,51,119.92055
-61.144147,71,119.988187
-24.300415,17,120.008236
-108.770239,128,120.418601
-45.279393,45,120.460404
-773.060626,1000,124.434005
-48.525019,52,124.482024
5.986632,15,124.495217
0.398794,38,124.529389
-71.307636,80,124.607657
-24.105824,30,124.635847
-9.859669,12,124.646472
-30.678342,44,124.696984
-16.976939,14,124.711375
-765.577114,1000,125.968936
-27.781539,23,125.990548
-19.618586,22,126.011761
-5.032025,14,126.024621
-34.943011,23,126.045872
-116.314392,129,126.16314
-9.717085,13,126.174993
-22.981919,21,126.19376
-27.953458,26,126.217302
-50.510526,55,126.266645
-23.962941,43,126.305588
-18.48734,13,126.317362
-36.588995,48,126.361948
-17.444001,78,126.441299
-33.049809,31,126.470099
-12.997096,18,126.485952
-43.870815,76,126.55861
-19.930991,28,126.588647
-42.041255,57,126.649848
-62.980299,80,126.728997
-15.546836,8,126.736467
-38.685807,46,126.778181
8.675972,15,126.791183
-26.09392,25,126.814146
-7.085021,19,126.830612
-22.458286,50,126.876409
-43.378553,60,126.938413
-70.010255,131,127.060277
-22.56967,38,127.09428
-22.063807,28,127.119874
-18.386218,82,127.195377
-33.073481,23,127.216029
-106.516151,129,127.333335
-16.857857,15,127.346544
-19.845377,21,127.365619
-20.588717,54,127.4156
-19.472498,51,127.462342
-62.224166,107,127.566135
-107.994387,101,127.96562
-47.504213,49,128.016143
-39.002577,19,128.033238
-18.386219,33,128.064173
-40.218947,28,128.089967
-14.077159,14,128.102345
-113.628988,66,128.162075
-80.505586,67,128.222031
-22.286811,39,128.257227
-16.747674,43,128.296234
-60.500818,50,128.342174
-12.556762,15,128.356249
-44.428598,52,128.403747
-26.978412,42,128.442184
-20.808504,24,128.463352
-5.606752,13,128.476254
-30.289547,43,128.515825
-7.458775,27,128.540058
4.65999,22,128.560181
-95.472149,116,128.666
-78.21783,121,128.785916
-53.620586,65,128.845041
-12.417526,28,128.8709
0.125039,53,128.91901
-15.024698,24,128.941605
-3.680049,31,128.968917
-772.019323,1000,130.305165
-47.385287,144,130.447242
-21.669772,24,130.469335
-25.108099,35,130.501394
-203.920214,179,130.673894
-734.135591,1000,131.660621
-23.138148,28,131.686181
-5.799342,18,131.702311
-106.189216,143,131.832613
-24.20396,22,131.852958
-93.272418,144,131.986023
-50.97764,81,132.067706
-6.693596,17,132.083726
-3.885309,24,132.106054
-73.310784,64,132.440539
-30.257043,28,132.465039
-79.775772,81,132.539346
-67.187221,65,132.610205
-20.281071,26,132.636878
-16.396612,28,132.66307
-52.688293,52,132.711631
-24.082794,24,132.735205
-24.767181,38,132.771457
-40.076444,70,132.848165
-67.767888,65,132.909524
-872.480738,1000,133.868708
-5.903254,18,133.884512
-35.836603,23,133.905956
-58.179309,109,134.00912
-15.295824,62,134.066123
-3.347692,24,134.087223
-50.444798,29,134.11438
-9.601783,52,134.162009
-3.198994,21,134.180429
-46.15236,81,134.26457
-47.662019,31,134.29348
-129.24031,124,134.685623
24.043195,24,134.707148
-38.190758,24,134.727833
-26.687289,53,134.781459
-19.703572,14,136.281671
-46.847868,69,136.352924
-15.918104,21,136.376856
-69.241999,57,136.435472
-15.955791,33,136.466805
-5.35753,13,136.478468
-33.615019,22,136.498557
-22.193885,66,136.563807
-72.823,69,136.627568
-15.327412,32,136.656691
-85.165208,94,136.747354
-701.614079,1000,137.809165
-22.322448,18,137.828917
-1.11544,12,137.842307
-68.234973,86,137.925108
-58.758649,93,138.011022
-24.627608,66,138.074136
-72.308715,89,138.154941
-13.944152,18,138.172009
-59.667446,48,138.218158
-22.671998,26,138.56339
-64.038636,55,138.612366
-115.027162,72,138.685351
-7.179747,14,138.699722
-16.270488,24,138.725612
-9.791645,50,138.771293
-24.947418,34,138.802056
-7.570968,33,138.831431
-10.024155,21,138.851546
-7.775108,12,138.862363
-792.647543,1000,139.839254
-80.582147,119,139.946236
-55.985448,42,139.984596
-80.455412,106,140.086751
-34.568702,39,140.123044
-16.836499,20,140.141298
-14.316964,19,140.164564
-13.249721,19,140.183361
-50.694985,26,140.207285
-22.336279,38,140.242566
-10.502726,13,140.254827
-4.750365,18,140.271456
-766.891408,1000,141.493481
-115.610862,94,141.579573
-86.471902,97,141.668169
20.953352,19,141.690762
-115.731204,78,141.763252
-68.94509,226,141.969031
-804.396635,1000,145.592233
-13.514779,37,145.625754
-200.92829,222,145.870471
-21.50484,24,145.892907
-10.897755,15,145.906199
-19.71874,19,145.925313
-73.960653,67,145.998442
-791.994094,1000,146.928959
-7.202564,25,146.952098
-6.316233,32,146.980045
-23.074105,53,147.028888
-52.872341,53,147.077081
-29.461698,26,147.100238
-787.766986,1000,148.298902
-81.182207,116,148.405915
-50.73985,60,148.460891
-112.177879,79,148.534768
2.207596,17,148.5501
-19.107184,49,148.593919
-1.372896,18,148.610988
-176.624692,184,148.777326
-123.817674,92,148.858365
-81.23138,82,148.932474
-22.557598,18,148.949083
-730.695951,1000,151.407357
